Gene_ID,Protein_Function,Locus
CA01g02650,NADH-plastoquinone oxidoreductase subunit I (chloroplast) [Viviania marifolia],Pepper1.55ch01:3871550-3872152
CA01g02660,PREDICTED: TMV resistance protein N-like [Vitis vinifera],Pepper1.55ch01:3875291-3876260
CA01g02670,AT5G08400 protein,Pepper1.55ch01:3878940-3879405
CA01g02680,Mitochondrial carrier protein%2C putative,Pepper1.55ch01:3884118-3889538
CA01g02690,Detected protein of unknown function,Pepper1.55ch01:3892403-3894983
CA01g02700,Mitochondrial glycoprotein family protein%2C putative isoform 1 [Theobroma cacao],Pepper1.55ch01:3906010-3908179
CA01g02710,bromo-adjacent homology (BAH) domain-containing family protein [Populus trichocarpa],Pepper1.55ch01:3915384-3916401
CA01g02720,Bromo-adjacent homology (BAH) domain-containing protein,Pepper1.55ch01:3921116-3921655
CA01g02730,PREDICTED: pheromone-regulated protein PRM7-like [Solanum tuberosum],Pepper1.55ch01:3950133-3954063
CA01g02740,BAH domain containing protein,Pepper1.55ch01:3969787-3970782
CA01g02750,Detected protein of unknown function,Pepper1.55ch01:4007804-4011513
CA01g02760,Zinc finger%2C CCHC-type,Pepper1.55ch01:4025720-4026512
CA01g02770,PREDICTED: phosphorylated carbohydrates phosphatase TM_1254-like [Solanum lycopersicum],Pepper1.55ch01:4035716-4036859
CA01g02780,Pentatricopeptide repeat protein,Pepper1.55ch01:4045186-4046413
CA01g02790,Gamma-glutamylcysteine synthetase,Pepper1.55ch01:4232004-4239313
CA01g02800,Jumonji domain protein (Fragment),Pepper1.55ch01:4246408-4253003
CA01g02810,Transcription factor%2C putative,Pepper1.55ch01:4263002-4265093
CA01g02820,Lysine-specific demethylase 5D,Pepper1.55ch01:4270828-4275179
CA01g02830,PREDICTED: formin-like protein 14-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:4367459-4367771
CA01g02840,PREDICTED: serine/threonine-protein phosphatase 7 long form homolog [Solanum lycopersicum],Pepper1.55ch01:4525414-4527037
CA01g02850,Detected protein of unknown function,Pepper1.55ch01:4585214-4586024
CA01g02860,Detected protein of unknown function,Pepper1.55ch01:4601876-4602647
CA01g02870,Phospholipase-like protein family%2C putative isoform 2 [Theobroma cacao],Pepper1.55ch01:4604055-4605630
CA01g02880,Phospholipase like protein,Pepper1.55ch01:4608309-4608825
CA01g02890,DNA binding protein%2C putative,Pepper1.55ch01:4655561-4661655
CA01g02900,Kiwellin%2C putative [Ricinus communis],Pepper1.55ch01:4662421-4662997
CA01g02910,PREDICTED: putative ripening-related protein 2-like [Solanum lycopersicum],Pepper1.55ch01:4664453-4664612
CA01g02920,Glutathione peroxidase,Pepper1.55ch01:4665373-4668343
CA01g02930,Heavy metal ATPase,Pepper1.55ch01:4678391-4684625
CA01g02940,Heavy metal ATPase,Pepper1.55ch01:4696261-4699545
CA01g02950,PREDICTED: trihelix transcription factor GTL2-like [Solanum tuberosum],Pepper1.55ch01:4728001-4729567
CA01g02960,Glutathione S-transferase protein,Pepper1.55ch01:4732145-4734610
